response_id,model,task,sensory_count,emotional_count,tech_count
3c1bebfff42c,DeepSeek-V4-Pro,沉浸式体验设计,8,1,30
3460139b9bc4,DeepSeek-V4-Pro,博物馆导览讲解,7,2,0
15cc98a2dac9,DeepSeek-V4-Pro,历史场景叙事,13,4,0
f16d0cd49fab,DeepSeek-V4-Pro,沉浸式体验设计,6,2,21
d8ef2a5c9eaa,DeepSeek-V4-Pro,博物馆导览讲解,11,0,0
f23cfdd30d9e,DeepSeek-V4-Pro,历史场景叙事,20,0,0
be10104a456f,DeepSeek-V4-Pro,沉浸式体验设计,6,1,26
c1d9159a6406,DeepSeek-V4-Pro,博物馆导览讲解,3,0,0
2e93125716f9,DeepSeek-V4-Pro,历史场景叙事,13,0,0
6d4b5fcc53a5,DeepSeek-V4-Pro,沉浸式体验设计,8,3,19
233ac955a4ba,DeepSeek-V4-Pro,博物馆导览讲解,6,1,0
631b281e7b0a,DeepSeek-V4-Pro,历史场景叙事,15,1,0
db0d27efc02a,DeepSeek-V4-Pro,沉浸式体验设计,13,2,14
96de426a853e,DeepSeek-V4-Flash,博物馆导览讲解,6,0,0
d06e23c32651,DeepSeek-V4-Flash,历史场景叙事,8,0,0
85139f021057,DeepSeek-V4-Flash,沉浸式体验设计,6,0,24
6ad6f14a9806,DeepSeek-V4-Flash,博物馆导览讲解,3,0,0
0d7c9c157210,DeepSeek-V4-Flash,历史场景叙事,10,1,0
e5819c8125bd,DeepSeek-V4-Flash,沉浸式体验设计,6,0,27
34ab7ddb4269,DeepSeek-V4-Flash,博物馆导览讲解,0,0,0
1aecc8f33356,DeepSeek-V4-Flash,历史场景叙事,4,0,0
97165235ddd6,DeepSeek-V4-Flash,沉浸式体验设计,5,2,20
9e120c84dfe7,DeepSeek-V4-Flash,博物馆导览讲解,6,0,0
0617e23e090a,DeepSeek-V4-Flash,历史场景叙事,1,0,1
c048d79ecb0d,DeepSeek-V4-Flash,沉浸式体验设计,6,1,35
945281ec4929,DeepSeek-V4-Flash,博物馆导览讲解,6,0,0
155d5748f9bf,DeepSeek-V4-Flash,历史场景叙事,6,0,0
165eaa6a895e,DeepSeek-V4-Flash,沉浸式体验设计,9,0,25
a6f0c890b216,DeepSeek-V4-Flash,博物馆导览讲解,8,3,0
b382e1ecf87d,DeepSeek-V4-Flash,历史场景叙事,6,1,0
4be2d47af353,DeepSeek-V4-Flash,沉浸式体验设计,8,0,20
3bd0287678b2,DeepSeek-V4-Flash,博物馆导览讲解,4,0,0
8def91be5c58,DeepSeek-V4-Flash,历史场景叙事,1,0,0
5fdf20db6899,DeepSeek-V4-Flash,沉浸式体验设计,11,2,15
df0f9beb8034,DeepSeek-V4-Flash,博物馆导览讲解,3,1,0
d0f3156e085e,DeepSeek-V4-Flash,历史场景叙事,5,1,0
d037286eb32d,DeepSeek-V4-Flash,沉浸式体验设计,4,2,27
6d798e8994d5,DeepSeek-V4-Flash,博物馆导览讲解,3,1,0
e5796f5b1a30,DeepSeek-V4-Flash,历史场景叙事,10,2,0
3e0121031fd8,DeepSeek-V4-Flash,沉浸式体验设计,17,6,16
e1c0a6545c7e,DeepSeek-V4-Flash,博物馆导览讲解,8,1,0
63f33f99634f,DeepSeek-V4-Flash,历史场景叙事,10,1,0
f814fe079a7f,DeepSeek-V4-Flash,沉浸式体验设计,9,2,21
0829a952ab51,DeepSeek-V4-Flash,博物馆导览讲解,3,0,0
69eaeb1942ed,DeepSeek-V4-Flash,历史场景叙事,4,0,0
bc417a34577c,DeepSeek-V4-Flash,沉浸式体验设计,9,0,15
7ef0c5dce4cc,DeepSeek-V4-Flash,博物馆导览讲解,2,0,0
180b1c35f225,DeepSeek-V4-Flash,历史场景叙事,8,1,0
aefc05d29a32,DeepSeek-V4-Flash,沉浸式体验设计,6,2,20
0b6b33bf51c8,Pro-Kimi-K2.6,博物馆导览讲解,7,1,0
bf28641cdacf,Pro-Kimi-K2.6,历史场景叙事,3,0,1
1c4432eb5850,Pro-Kimi-K2.6,沉浸式体验设计,5,1,21
204fe957d2f7,Pro-Kimi-K2.6,博物馆导览讲解,6,0,0
591c025b2a7c,Pro-Kimi-K2.6,历史场景叙事,10,0,0
b9567ce40698,Pro-Kimi-K2.6,沉浸式体验设计,7,0,10
d16d3be1e362,Pro-Kimi-K2.6,博物馆导览讲解,5,0,0
cc3097c42b52,Pro-Kimi-K2.6,历史场景叙事,9,1,0
854b18d86f8b,Pro-Kimi-K2.6,沉浸式体验设计,2,0,18
6f74ba452775,Pro-Kimi-K2.6,博物馆导览讲解,6,0,0
ec777615fb32,Pro-Kimi-K2.6,历史场景叙事,5,0,0
c314350047aa,Pro-Kimi-K2.6,沉浸式体验设计,7,1,24
485a20f89466,Pro-Kimi-K2.6,博物馆导览讲解,9,1,0
7c81c959d63b,Pro-Kimi-K2.6,历史场景叙事,6,0,0
3549785e74df,Pro-Kimi-K2.6,沉浸式体验设计,14,1,23
1ed67e57f1b4,Pro-Kimi-K2.6,博物馆导览讲解,10,1,0
c51ba961f9bd,Pro-Kimi-K2.6,历史场景叙事,12,0,0
0c0b051c7dcd,Pro-Kimi-K2.6,沉浸式体验设计,6,2,23
826825b7c644,Pro-Kimi-K2.6,博物馆导览讲解,3,0,0
9372c9071c68,Pro-Kimi-K2.6,历史场景叙事,14,0,0
f88a343aa083,Pro-Kimi-K2.6,沉浸式体验设计,14,1,16
9c1f0dada585,Pro-Kimi-K2.6,博物馆导览讲解,8,0,0
47d1cd05f1c6,Pro-Kimi-K2.6,历史场景叙事,6,1,0
a6d8568d8ddb,Pro-Kimi-K2.6,沉浸式体验设计,15,2,27
f845adc8c4cb,Pro-Kimi-K2.6,博物馆导览讲解,3,0,0
b3f3916749a3,Pro-Kimi-K2.6,历史场景叙事,13,0,0
98fabc111f34,Pro-Kimi-K2.6,沉浸式体验设计,13,1,19
bbce680ad773,Pro-Kimi-K2.6,博物馆导览讲解,13,0,0
f40ebfe46220,Pro-Kimi-K2.6,历史场景叙事,5,0,0
0454b459b51a,Pro-Kimi-K2.6,沉浸式体验设计,11,2,18
cc2b4cc59c6c,Pro-Kimi-K2.6,博物馆导览讲解,0,0,0
88e963cc06ce,Pro-Kimi-K2.6,历史场景叙事,4,2,0
310151d26d8c,Pro-Kimi-K2.6,沉浸式体验设计,9,2,16
c1f26752ed62,Pro-Kimi-K2.6,博物馆导览讲解,4,0,0
ef27511ad59e,Pro-Kimi-K2.6,历史场景叙事,3,0,0
3c48650aaf1c,Pro-Kimi-K2.6,沉浸式体验设计,9,0,10
f1b57e060efe,Pro-GLM-5.1,博物馆导览讲解,7,0,0
ffce1649e82a,Pro-GLM-5.1,历史场景叙事,5,0,0
23051605633a,Pro-GLM-5.1,沉浸式体验设计,10,0,14
ebb3eee2bce0,Pro-GLM-5.1,博物馆导览讲解,9,2,0
78ae56656bc2,Pro-GLM-5.1,历史场景叙事,11,0,0
73dbab8ee8fe,Pro-GLM-5.1,沉浸式体验设计,16,1,13
f4fd00170059,Pro-GLM-5.1,博物馆导览讲解,7,1,0
6c618e195e36,Pro-GLM-5.1,历史场景叙事,8,0,0
eaf89dfc314f,Pro-GLM-5.1,沉浸式体验设计,10,1,22
5f20d096b6ee,Pro-GLM-5.1,博物馆导览讲解,8,0,0
888f03e12883,Pro-GLM-5.1,历史场景叙事,15,3,0
8ac6c1908065,Pro-GLM-5.1,沉浸式体验设计,9,1,19
393179571787,Pro-GLM-5.1,博物馆导览讲解,11,0,0
ba95f94a02a4,Pro-GLM-5.1,历史场景叙事,12,1,0
712456fa5716,Pro-GLM-5.1,沉浸式体验设计,7,2,15
ba71af0fe6ec,Pro-GLM-5.1,博物馆导览讲解,10,1,0
60ce3adb38a8,Pro-GLM-5.1,历史场景叙事,16,1,0
86bf90297c36,Pro-GLM-5.1,沉浸式体验设计,18,3,17
c07f083c00c9,Pro-GLM-5.1,博物馆导览讲解,7,0,0
a710c84e72bd,Pro-GLM-5.1,历史场景叙事,17,3,0
27df187b2530,Pro-GLM-5.1,沉浸式体验设计,7,0,16
dcd12f369b2b,Pro-GLM-5.1,博物馆导览讲解,7,5,0
00a982429dbd,Pro-GLM-5.1,历史场景叙事,13,1,0
fa9926af1ba9,Pro-GLM-5.1,沉浸式体验设计,8,3,13
aa02f29ea33c,Pro-GLM-5.1,博物馆导览讲解,10,1,0
7613aef8d258,Pro-GLM-5.1,历史场景叙事,11,1,0
9e9dbcf46bd7,Pro-GLM-5.1,沉浸式体验设计,9,2,7
6ea2eba2b542,Pro-GLM-5.1,博物馆导览讲解,11,1,0
5132ba78e94a,Pro-GLM-5.1,历史场景叙事,19,1,0
bce139c42de5,Pro-GLM-5.1,沉浸式体验设计,12,0,11
8820b1274f2d,Pro-GLM-5.1,博物馆导览讲解,5,2,0
b4bf36c42fc7,Pro-GLM-5.1,历史场景叙事,8,0,0
ef27adeed9af,Pro-GLM-5.1,沉浸式体验设计,9,0,15
6cfd19e83947,Pro-GLM-5.1,博物馆导览讲解,5,3,0
dccaa18941c4,Pro-GLM-5.1,历史场景叙事,9,1,0
f0e217f31b8e,Pro-GLM-5.1,沉浸式体验设计,5,1,13
5214bfce2cc2,Nex-N2-Pro,博物馆导览讲解,0,0,0
b796259214aa,Nex-N2-Pro,历史场景叙事,0,0,0
e62c84eb96d5,Nex-N2-Pro,沉浸式体验设计,0,0,0
605a87925851,Nex-N2-Pro,博物馆导览讲解,0,0,0
1734a556c2c7,Nex-N2-Pro,历史场景叙事,0,0,0
cd0550062f22,Nex-N2-Pro,沉浸式体验设计,10,0,11
521d643f9e08,Nex-N2-Pro,博物馆导览讲解,0,0,0
62462c64a4fd,Nex-N2-Pro,历史场景叙事,0,0,0
b314f41ec12a,Nex-N2-Pro,沉浸式体验设计,0,0,0
afd7eac8ec66,Nex-N2-Pro,博物馆导览讲解,0,0,0
46670f51f283,Nex-N2-Pro,历史场景叙事,0,0,0
2ac5683bb1ec,Nex-N2-Pro,沉浸式体验设计,0,0,0
197782dc32e5,Nex-N2-Pro,博物馆导览讲解,0,0,0
fda459bbd124,Nex-N2-Pro,历史场景叙事,0,0,0
b357c714a695,Nex-N2-Pro,沉浸式体验设计,0,0,0
83f1b6b3254a,Nex-N2-Pro,博物馆导览讲解,0,0,0
06015021530d,Nex-N2-Pro,历史场景叙事,0,0,0
3e71cf14ca0d,Nex-N2-Pro,沉浸式体验设计,0,0,0
d6c2f8b1fe6d,Nex-N2-Pro,博物馆导览讲解,0,0,0
fd5ccf80d94f,Nex-N2-Pro,历史场景叙事,0,0,0
6b269c516d69,Nex-N2-Pro,沉浸式体验设计,0,0,0
f7ef4ed4fa96,Nex-N2-Pro,博物馆导览讲解,0,0,0
c7855521d67d,Nex-N2-Pro,历史场景叙事,0,0,0
d8a6e627e0cb,Nex-N2-Pro,沉浸式体验设计,0,0,0
dfeb510e03fe,Nex-N2-Pro,博物馆导览讲解,0,0,0
7122e084feee,Nex-N2-Pro,历史场景叙事,0,0,0
e65b14b3fdb2,Nex-N2-Pro,沉浸式体验设计,0,0,0
8d52757c2c05,Nex-N2-Pro,博物馆导览讲解,0,0,0
bcc655add471,Nex-N2-Pro,历史场景叙事,0,0,0
98c48565532e,Nex-N2-Pro,沉浸式体验设计,0,0,0
f0006521a47a,Nex-N2-Pro,博物馆导览讲解,3,1,0
7dd7be23c657,Nex-N2-Pro,历史场景叙事,0,0,0
ee7d05655a35,Nex-N2-Pro,沉浸式体验设计,0,0,0
d287ab32fad9,Nex-N2-Pro,博物馆导览讲解,0,0,0
4901b79d7ae6,Nex-N2-Pro,历史场景叙事,0,0,0
9ffc8e62d28e,Nex-N2-Pro,沉浸式体验设计,0,0,0
13d80593fb0f,MiniMax-M2.5,博物馆导览讲解,2,0,0
d1d95f121881,MiniMax-M2.5,历史场景叙事,8,0,0
c2bd160089ce,MiniMax-M2.5,沉浸式体验设计,5,0,13
c67e31a5d9d7,MiniMax-M2.5,博物馆导览讲解,6,1,0
3e0370ef6db8,MiniMax-M2.5,历史场景叙事,10,2,0
fe978be1231b,MiniMax-M2.5,沉浸式体验设计,5,4,10
be3184702111,MiniMax-M2.5,博物馆导览讲解,7,0,1
b4078b224211,MiniMax-M2.5,历史场景叙事,2,1,2
151513cd7aa4,MiniMax-M2.5,沉浸式体验设计,6,2,15
506eca574992,MiniMax-M2.5,博物馆导览讲解,12,0,0
807a154b6e78,MiniMax-M2.5,历史场景叙事,24,4,0
e2afdd335f2f,MiniMax-M2.5,沉浸式体验设计,5,1,25
fda3df810eab,MiniMax-M2.5,博物馆导览讲解,0,0,0
32f83df829c2,MiniMax-M2.5,历史场景叙事,17,0,0
64795e8275b9,MiniMax-M2.5,沉浸式体验设计,7,0,23
7a191f7f1321,MiniMax-M2.5,博物馆导览讲解,0,0,0
8ca54c769a43,MiniMax-M2.5,历史场景叙事,0,0,0
0be378ad7275,MiniMax-M2.5,沉浸式体验设计,9,2,17
2ccccd776acc,MiniMax-M2.5,博物馆导览讲解,3,0,0
30da4e70f648,MiniMax-M2.5,历史场景叙事,11,0,0
1489c2e563d7,MiniMax-M2.5,沉浸式体验设计,16,0,16
cfef6bfc9111,MiniMax-M2.5,博物馆导览讲解,7,0,0
4339881853fb,MiniMax-M2.5,历史场景叙事,9,2,0
29e068be1389,MiniMax-M2.5,沉浸式体验设计,9,3,26
317ffc9479dd,MiniMax-M2.5,博物馆导览讲解,2,2,0
842a9f805395,MiniMax-M2.5,历史场景叙事,8,0,0
a2bd2230d975,MiniMax-M2.5,沉浸式体验设计,9,2,19
c4eff8d582f9,MiniMax-M2.5,博物馆导览讲解,11,1,0
3f7d3abc9462,MiniMax-M2.5,历史场景叙事,15,1,0
e852763ca27a,MiniMax-M2.5,沉浸式体验设计,23,3,8
63186bf875f0,MiniMax-M2.5,博物馆导览讲解,6,1,0
f841f22abcbc,MiniMax-M2.5,历史场景叙事,12,2,0
cc14a6344a54,MiniMax-M2.5,沉浸式体验设计,22,3,24
f5d50b708a0a,MiniMax-M2.5,博物馆导览讲解,2,1,0
6d6a6b6b9dde,MiniMax-M2.5,历史场景叙事,12,1,1
f115f8b457bc,MiniMax-M2.5,沉浸式体验设计,11,0,16
0afa31a50c10,Pro-MiniMax-M2.5,博物馆导览讲解,0,0,1
974f6141a7d0,Pro-MiniMax-M2.5,历史场景叙事,5,0,0
e8ed5ab996db,Pro-MiniMax-M2.5,沉浸式体验设计,13,0,13
73e6b9bb15ed,Pro-MiniMax-M2.5,博物馆导览讲解,12,0,0
d9d0c8f58d93,Pro-MiniMax-M2.5,历史场景叙事,3,1,0
5d503ec644cb,Pro-MiniMax-M2.5,沉浸式体验设计,12,1,24
9118bb409455,Pro-MiniMax-M2.5,博物馆导览讲解,13,1,0
7166d19b56c6,Pro-MiniMax-M2.5,历史场景叙事,5,6,2
94a724d02ea3,Pro-MiniMax-M2.5,沉浸式体验设计,8,4,7
4dfb5b3559c2,Pro-MiniMax-M2.5,博物馆导览讲解,13,3,0
1bc592ff0e35,Pro-MiniMax-M2.5,历史场景叙事,14,1,0
5020ea305f08,Pro-MiniMax-M2.5,沉浸式体验设计,17,3,21
d105c215b53c,Pro-MiniMax-M2.5,博物馆导览讲解,4,1,0
c87574429ef3,Pro-MiniMax-M2.5,历史场景叙事,7,0,0
3fc1824a8d0d,Pro-MiniMax-M2.5,沉浸式体验设计,12,1,15
730519a45b65,Pro-MiniMax-M2.5,博物馆导览讲解,14,1,0
3018f0172938,Pro-MiniMax-M2.5,历史场景叙事,14,1,0
bb49e2772c84,Pro-MiniMax-M2.5,沉浸式体验设计,17,3,12
a1273a40e2b1,Pro-MiniMax-M2.5,博物馆导览讲解,5,0,1
d38214f0cfdb,Pro-MiniMax-M2.5,历史场景叙事,4,0,0
12461cd1f5e8,Pro-MiniMax-M2.5,沉浸式体验设计,14,4,18
fe4d4cf0887d,Pro-MiniMax-M2.5,博物馆导览讲解,6,1,0
1657c3b898c0,Pro-MiniMax-M2.5,历史场景叙事,4,0,0
d503ef5b083e,Pro-MiniMax-M2.5,沉浸式体验设计,6,2,21
7900dca30133,Pro-MiniMax-M2.5,博物馆导览讲解,5,2,0
353698c27c32,Pro-MiniMax-M2.5,历史场景叙事,13,2,0
32246a1e09b7,Pro-MiniMax-M2.5,沉浸式体验设计,7,2,23
7b4bb274118c,Pro-MiniMax-M2.5,博物馆导览讲解,8,1,1
c50fa5fa2d51,Pro-MiniMax-M2.5,历史场景叙事,19,0,0
0c04b336887f,Pro-MiniMax-M2.5,沉浸式体验设计,14,2,6
db15b246505a,Pro-MiniMax-M2.5,博物馆导览讲解,7,1,0
4467b78363c2,Pro-MiniMax-M2.5,历史场景叙事,6,0,0
306c60a21204,Pro-MiniMax-M2.5,沉浸式体验设计,17,4,19
3a89fff36b34,Pro-MiniMax-M2.5,博物馆导览讲解,6,0,0
6ef9ba3f7eac,Pro-MiniMax-M2.5,历史场景叙事,29,0,0
2f1854f86140,Pro-MiniMax-M2.5,沉浸式体验设计,12,0,11
94e96b7f0701,DeepSeek-V4-Pro,历史场景叙事,12,0,0
44ee136ad14d,DeepSeek-V4-Pro,历史场景叙事,5,4,0
68a86758fe17,LongCat-2.0,博物馆导览讲解,3,2,0
961db5cb11e1,LongCat-2.0,历史场景叙事,11,2,0
b4a0b1d0205e,LongCat-2.0,沉浸式体验设计,1,0,2
9e0a90f1f4ce,LongCat-2.0,博物馆导览讲解,9,0,0
417c5c5d579e,LongCat-2.0,历史场景叙事,17,0,0
55415dc2ca14,LongCat-2.0,沉浸式体验设计,3,2,22
4faab58cfc71,LongCat-2.0,博物馆导览讲解,5,2,0
d6c5f4437024,LongCat-2.0,历史场景叙事,9,0,0
837ae006e4ea,LongCat-2.0,沉浸式体验设计,11,1,7
b9104797901a,LongCat-2.0,博物馆导览讲解,2,0,0
8406b46ecef1,LongCat-2.0,历史场景叙事,1,1,0
259967229eae,LongCat-2.0,沉浸式体验设计,1,0,10
05884f0c9d0f,LongCat-2.0,博物馆导览讲解,6,1,0
b5f137cece97,LongCat-2.0,历史场景叙事,14,5,0
c65abb315970,LongCat-2.0,沉浸式体验设计,4,0,24
616156b0f47e,LongCat-2.0,博物馆导览讲解,4,1,0
07455aaf9819,LongCat-2.0,历史场景叙事,10,4,0
05f4128acffb,LongCat-2.0,沉浸式体验设计,10,1,16
213bb66bece8,LongCat-2.0,博物馆导览讲解,14,1,0
4704f0d75696,LongCat-2.0,历史场景叙事,6,0,0
10154aeab5d7,LongCat-2.0,沉浸式体验设计,5,1,15
257ad8ade253,LongCat-2.0,博物馆导览讲解,8,0,0
1129e845cf24,LongCat-2.0,历史场景叙事,9,1,0
ff4cfc1577ba,LongCat-2.0,沉浸式体验设计,10,0,11
b5cb50a343bd,GLM-5.2,博物馆导览讲解,7,0,0
