response_id,model,task,char_count,word_count,sentence_count,avg_sentence_length
3c87e6844b49,LongCat-2.0,历史场景叙事,2933,832,121,24.239669421487605
582e4785f105,LongCat-2.0,沉浸式体验设计,3787,604,132,28.689393939393938
551fe23b8ddc,GLM-5.2,博物馆导览讲解,1241,402,29,42.793103448275865
fcdfcc210c01,GLM-5.2,历史场景叙事,1868,561,57,32.771929824561404
2aea162482dd,GLM-5.2,沉浸式体验设计,2447,745,66,37.07575757575758
036a8a4a3dda,GLM-5.2,博物馆导览讲解,1586,439,58,27.344827586206897
3a6ad4aa3a44,GLM-5.2,历史场景叙事,1905,538,81,23.51851851851852
d61440f30d8f,GLM-5.2,沉浸式体验设计,2606,738,79,32.9873417721519
80ef37f7e6f8,GLM-5.2,博物馆导览讲解,1768,546,50,35.36
0d87d1443a2c,GLM-5.2,历史场景叙事,2612,737,79,33.063291139240505
2970262db7e2,GLM-5.2,沉浸式体验设计,2622,766,68,38.55882352941177
c942063b02d5,GLM-5.2,博物馆导览讲解,1106,342,36,30.72222222222222
5cb58fc9abcd,GLM-5.2,历史场景叙事,1814,541,60,30.233333333333334
c0b2c9dd02af,GLM-5.2,沉浸式体验设计,2474,723,69,35.85507246376812
8a5267dd48b8,GLM-5.2,博物馆导览讲解,1517,444,49,30.959183673469386
ba6980e41266,GLM-5.2,历史场景叙事,2031,575,72,28.208333333333332
2192ffd3385f,GLM-5.2,沉浸式体验设计,2762,796,78,35.41025641025641
94caab87449f,GLM-5.2,博物馆导览讲解,1494,460,47,31.78723404255319
d8ddbb68918d,GLM-5.2,历史场景叙事,1955,573,66,29.62121212121212
b32dce1e5c44,GLM-5.2,沉浸式体验设计,2442,721,65,37.56923076923077
043362459d0c,GLM-5.2,博物馆导览讲解,1651,497,49,33.69387755102041
294a49aee97c,GLM-5.2,历史场景叙事,1867,563,59,31.64406779661017
721b1e1be672,GLM-5.2,沉浸式体验设计,2585,731,71,36.40845070422535
cb18753dd01e,GLM-5.2,博物馆导览讲解,1357,424,34,39.911764705882355
91866d706441,GLM-5.2,历史场景叙事,1932,589,66,29.272727272727273
0d49120897d8,GLM-5.2,沉浸式体验设计,2538,751,70,36.25714285714286
a80bb6f9b116,GLM-5.2,博物馆导览讲解,1689,530,50,33.78
509ac649cfae,GLM-5.2,历史场景叙事,1872,571,50,37.44
9b94f7e61566,GLM-5.2,沉浸式体验设计,2210,681,71,31.12676056338028
69e407a14d37,GLM-5.2,博物馆导览讲解,1526,434,54,28.25925925925926
f837a19c616e,GLM-5.2,历史场景叙事,1689,452,67,25.208955223880597
28744f16944f,GLM-5.2,沉浸式体验设计,2648,742,85,31.152941176470588
afdf0242e897,GLM-5.2,博物馆导览讲解,1286,410,33,38.96969696969697
0223cbd7e9b6,GLM-5.2,历史场景叙事,1551,482,47,33.0
7cccbb1ebdd6,GLM-5.2,沉浸式体验设计,2378,706,67,35.492537313432834
63153b5d2f00,GLM-5.2,博物馆导览讲解,1242,400,36,34.5
f324a6f12136,GLM-5.2,历史场景叙事,1577,489,52,30.326923076923077
f6125a7b0510,GLM-5.2,沉浸式体验设计,2355,686,65,36.23076923076923
e636e67830a1,Kimi-K2.7-Code,博物馆导览讲解,822,254,22,37.36363636363637
980bfec4f863,Kimi-K2.7-Code,历史场景叙事,2511,726,86,29.197674418604652
982a3477b67a,Kimi-K2.7-Code,沉浸式体验设计,3493,1007,115,30.37391304347826
d6799baf388c,Kimi-K2.7-Code,博物馆导览讲解,1066,293,37,28.81081081081081
e7064299338f,Kimi-K2.7-Code,历史场景叙事,2180,580,77,28.31168831168831
7ebb499b3763,Kimi-K2.7-Code,沉浸式体验设计,3121,835,119,26.22689075630252
464ed49bcbf2,Kimi-K2.7-Code,博物馆导览讲解,1911,502,54,35.388888888888886
9f8126dd44d5,Kimi-K2.7-Code,历史场景叙事,2705,715,90,30.055555555555557
3e15f53c5e25,Kimi-K2.7-Code,沉浸式体验设计,3524,940,108,32.629629629629626
930737b0cfde,Kimi-K2.7-Code,博物馆导览讲解,953,291,27,35.2962962962963
d3354379e2da,Kimi-K2.7-Code,历史场景叙事,1496,405,44,34.0
33e7623784aa,Kimi-K2.7-Code,沉浸式体验设计,3480,1014,116,30.0
0e7e2c5928c1,Kimi-K2.7-Code,博物馆导览讲解,1418,404,40,35.45
783fb756274d,Kimi-K2.7-Code,历史场景叙事,1891,515,50,37.82
afa731288f9e,Kimi-K2.7-Code,沉浸式体验设计,3687,1000,106,34.783018867924525
7f749f684f2a,Kimi-K2.7-Code,博物馆导览讲解,1030,318,25,41.2
8e935bdb8966,Kimi-K2.7-Code,历史场景叙事,2533,702,69,36.710144927536234
8860c142fb34,Kimi-K2.7-Code,沉浸式体验设计,3711,981,117,31.71794871794872
a0b031de576c,Kimi-K2.7-Code,博物馆导览讲解,1179,370,35,33.68571428571428
d51c77b3c96e,Kimi-K2.7-Code,历史场景叙事,1125,338,36,31.25
d6de44524801,Kimi-K2.7-Code,沉浸式体验设计,3569,1002,135,26.437037037037037
67038910ea90,Kimi-K2.7-Code,博物馆导览讲解,1390,395,40,34.75
0523dafe341e,Kimi-K2.7-Code,历史场景叙事,1347,420,34,39.61764705882353
d8b31579912e,Kimi-K2.7-Code,沉浸式体验设计,3436,997,116,29.620689655172413
a3db0f8a3c94,Kimi-K2.7-Code,博物馆导览讲解,1135,356,34,33.38235294117647
1d2afceff879,Kimi-K2.7-Code,历史场景叙事,2336,662,60,38.93333333333333
89f025b51cb7,Kimi-K2.7-Code,沉浸式体验设计,3596,990,156,23.05128205128205
25c2f2abe3e5,Kimi-K2.7-Code,博物馆导览讲解,1256,318,44,28.545454545454547
261c309dd692,Kimi-K2.7-Code,历史场景叙事,2199,563,104,21.14423076923077
341fdfd3bad0,Kimi-K2.7-Code,沉浸式体验设计,3535,975,150,23.566666666666666
1bad7daa3d54,Kimi-K2.7-Code,博物馆导览讲解,1214,387,26,46.69230769230769
72fc81c84dd0,Kimi-K2.7-Code,历史场景叙事,1588,406,60,26.466666666666665
57214298398f,Kimi-K2.7-Code,沉浸式体验设计,3652,1050,115,31.756521739130434
efd692be49e1,Kimi-K2.7-Code,博物馆导览讲解,1258,393,38,33.10526315789474
750c66465d95,Kimi-K2.7-Code,历史场景叙事,1792,499,56,32.0
c0d91de3d322,Kimi-K2.7-Code,沉浸式体验设计,3638,977,113,32.19469026548673
ad23878edbe8,DeepSeek-V4-Pro,博物馆导览讲解,1022,321,32,31.9375
b3165688025d,DeepSeek-V4-Pro,历史场景叙事,1261,339,45,28.022222222222222
debe58c13311,DeepSeek-V4-Pro,沉浸式体验设计,3198,899,80,39.975
b86fa7cbd4f1,DeepSeek-V4-Pro,博物馆导览讲解,805,256,25,32.2
9d5ea3d334bd,DeepSeek-V4-Pro,沉浸式体验设计,2662,828,93,28.623655913978496
4d34935f2d4b,DeepSeek-V4-Pro,博物馆导览讲解,1354,413,33,41.03030303030303
be2ddfb7f9e5,DeepSeek-V4-Pro,沉浸式体验设计,3206,985,104,30.826923076923077
e0d48cca9b72,DeepSeek-V4-Pro,博物馆导览讲解,1223,382,34,35.970588235294116
1fb315375044,DeepSeek-V4-Pro,历史场景叙事,1308,400,44,29.727272727272727
a1e84fc6622e,DeepSeek-V4-Pro,沉浸式体验设计,3200,985,99,32.323232323232325
f26740bbd051,DeepSeek-V4-Pro,博物馆导览讲解,1031,312,30,34.36666666666667
7fbeb69a0ca0,DeepSeek-V4-Pro,历史场景叙事,1667,461,54,30.87037037037037
a923b506befe,DeepSeek-V4-Pro,沉浸式体验设计,3553,969,109,32.596330275229356
3e31cab2a324,DeepSeek-V4-Pro,博物馆导览讲解,1079,323,35,30.82857142857143
f66d558869a8,DeepSeek-V4-Pro,历史场景叙事,2461,722,80,30.7625
96534aab2a68,DeepSeek-V4-Pro,沉浸式体验设计,3115,957,104,29.951923076923077
8b4a1b59e28a,DeepSeek-V4-Pro,博物馆导览讲解,1516,472,40,37.9
5130aabfbcb6,DeepSeek-V4-Pro,历史场景叙事,1695,487,63,26.904761904761905
f3643bc4d79f,DeepSeek-V4-Pro,沉浸式体验设计,3108,932,117,26.564102564102566
efefcc9a8ce7,DeepSeek-V4-Pro,博物馆导览讲解,1857,523,74,25.094594594594593
c094664055e0,DeepSeek-V4-Pro,历史场景叙事,1679,468,57,29.45614035087719
3c1bebfff42c,DeepSeek-V4-Pro,沉浸式体验设计,3049,899,93,32.784946236559136
3460139b9bc4,DeepSeek-V4-Pro,博物馆导览讲解,1165,391,31,37.58064516129032
15cc98a2dac9,DeepSeek-V4-Pro,历史场景叙事,2685,835,75,35.8
f16d0cd49fab,DeepSeek-V4-Pro,沉浸式体验设计,2808,861,88,31.90909090909091
d8ef2a5c9eaa,DeepSeek-V4-Pro,博物馆导览讲解,917,268,25,36.68
f23cfdd30d9e,DeepSeek-V4-Pro,历史场景叙事,1304,366,52,25.076923076923077
be10104a456f,DeepSeek-V4-Pro,沉浸式体验设计,3451,958,103,33.50485436893204
c1d9159a6406,DeepSeek-V4-Pro,博物馆导览讲解,906,288,24,37.75
2e93125716f9,DeepSeek-V4-Pro,历史场景叙事,1006,273,40,25.15
6d4b5fcc53a5,DeepSeek-V4-Pro,沉浸式体验设计,2450,752,70,35.0
233ac955a4ba,DeepSeek-V4-Pro,博物馆导览讲解,1076,320,38,28.31578947368421
631b281e7b0a,DeepSeek-V4-Pro,历史场景叙事,2322,667,60,38.7
db0d27efc02a,DeepSeek-V4-Pro,沉浸式体验设计,3335,1032,91,36.64835164835165
96de426a853e,DeepSeek-V4-Flash,博物馆导览讲解,1087,304,36,30.194444444444443
d06e23c32651,DeepSeek-V4-Flash,历史场景叙事,1225,352,46,26.630434782608695
85139f021057,DeepSeek-V4-Flash,沉浸式体验设计,1915,588,63,30.396825396825395
6ad6f14a9806,DeepSeek-V4-Flash,博物馆导览讲解,1090,339,37,29.45945945945946
0d7c9c157210,DeepSeek-V4-Flash,历史场景叙事,905,271,29,31.20689655172414
e5819c8125bd,DeepSeek-V4-Flash,沉浸式体验设计,3445,1003,89,38.70786516853933
34ab7ddb4269,DeepSeek-V4-Flash,博物馆导览讲解,2590,307,32,80.9375
1aecc8f33356,DeepSeek-V4-Flash,历史场景叙事,2588,715,90,28.755555555555556
97165235ddd6,DeepSeek-V4-Flash,沉浸式体验设计,3298,908,108,30.537037037037038
9e120c84dfe7,DeepSeek-V4-Flash,博物馆导览讲解,1045,337,25,41.8
0617e23e090a,DeepSeek-V4-Flash,历史场景叙事,970,303,30,32.333333333333336
c048d79ecb0d,DeepSeek-V4-Flash,沉浸式体验设计,2432,720,96,25.333333333333332
945281ec4929,DeepSeek-V4-Flash,博物馆导览讲解,1384,392,43,32.18604651162791
155d5748f9bf,DeepSeek-V4-Flash,历史场景叙事,950,274,24,39.583333333333336
165eaa6a895e,DeepSeek-V4-Flash,沉浸式体验设计,3450,951,105,32.857142857142854
a6f0c890b216,DeepSeek-V4-Flash,博物馆导览讲解,1447,446,42,34.45238095238095
b382e1ecf87d,DeepSeek-V4-Flash,历史场景叙事,1312,406,38,34.526315789473685
4be2d47af353,DeepSeek-V4-Flash,沉浸式体验设计,2495,731,96,25.989583333333332
3bd0287678b2,DeepSeek-V4-Flash,博物馆导览讲解,1081,345,29,37.275862068965516
8def91be5c58,DeepSeek-V4-Flash,历史场景叙事,637,185,25,25.48
5fdf20db6899,DeepSeek-V4-Flash,沉浸式体验设计,3439,970,120,28.658333333333335
df0f9beb8034,DeepSeek-V4-Flash,博物馆导览讲解,1038,335,27,38.44444444444444
d0f3156e085e,DeepSeek-V4-Flash,历史场景叙事,1489,462,50,29.78
d037286eb32d,DeepSeek-V4-Flash,沉浸式体验设计,2186,631,67,32.62686567164179
6d798e8994d5,DeepSeek-V4-Flash,博物馆导览讲解,1214,384,36,33.72222222222222
e5796f5b1a30,DeepSeek-V4-Flash,历史场景叙事,1578,477,67,23.55223880597015
3e0121031fd8,DeepSeek-V4-Flash,沉浸式体验设计,3434,1053,89,38.58426966292135
e1c0a6545c7e,DeepSeek-V4-Flash,博物馆导览讲解,1048,326,30,34.93333333333333
63f33f99634f,DeepSeek-V4-Flash,历史场景叙事,973,283,41,23.73170731707317
f814fe079a7f,DeepSeek-V4-Flash,沉浸式体验设计,2783,771,112,24.848214285714285
0829a952ab51,DeepSeek-V4-Flash,博物馆导览讲解,895,284,26,34.42307692307692
69eaeb1942ed,DeepSeek-V4-Flash,历史场景叙事,813,247,30,27.1
bc417a34577c,DeepSeek-V4-Flash,沉浸式体验设计,2442,699,67,36.44776119402985
7ef0c5dce4cc,DeepSeek-V4-Flash,博物馆导览讲解,812,251,31,26.193548387096776
180b1c35f225,DeepSeek-V4-Flash,历史场景叙事,1144,333,28,40.857142857142854
aefc05d29a32,DeepSeek-V4-Flash,沉浸式体验设计,3431,1035,121,28.355371900826448
0b6b33bf51c8,Pro-Kimi-K2.6,博物馆导览讲解,1065,338,25,42.6
bf28641cdacf,Pro-Kimi-K2.6,历史场景叙事,1736,502,50,34.72
1c4432eb5850,Pro-Kimi-K2.6,沉浸式体验设计,3409,989,83,41.0722891566265
204fe957d2f7,Pro-Kimi-K2.6,博物馆导览讲解,966,294,29,33.310344827586206
591c025b2a7c,Pro-Kimi-K2.6,历史场景叙事,1699,447,78,21.78205128205128
b9567ce40698,Pro-Kimi-K2.6,沉浸式体验设计,3640,988,105,34.666666666666664
d16d3be1e362,Pro-Kimi-K2.6,博物馆导览讲解,1993,559,45,44.28888888888889
cc3097c42b52,Pro-Kimi-K2.6,历史场景叙事,3113,847,84,37.05952380952381
854b18d86f8b,Pro-Kimi-K2.6,沉浸式体验设计,3540,970,89,39.7752808988764
6f74ba452775,Pro-Kimi-K2.6,博物馆导览讲解,1028,320,25,41.12
ec777615fb32,Pro-Kimi-K2.6,历史场景叙事,1785,528,47,37.97872340425532
c314350047aa,Pro-Kimi-K2.6,沉浸式体验设计,3326,982,96,34.645833333333336
485a20f89466,Pro-Kimi-K2.6,博物馆导览讲解,1452,406,40,36.3
7c81c959d63b,Pro-Kimi-K2.6,历史场景叙事,1706,481,49,34.816326530612244
3549785e74df,Pro-Kimi-K2.6,沉浸式体验设计,3599,989,107,33.63551401869159
1ed67e57f1b4,Pro-Kimi-K2.6,博物馆导览讲解,1210,374,32,37.8125
c51ba961f9bd,Pro-Kimi-K2.6,历史场景叙事,2141,626,55,38.92727272727273
0c0b051c7dcd,Pro-Kimi-K2.6,沉浸式体验设计,3410,939,81,42.098765432098766
826825b7c644,Pro-Kimi-K2.6,博物馆导览讲解,968,295,23,42.08695652173913
9372c9071c68,Pro-Kimi-K2.6,历史场景叙事,2170,614,66,32.878787878787875
f88a343aa083,Pro-Kimi-K2.6,沉浸式体验设计,3808,1063,111,34.306306306306304
9c1f0dada585,Pro-Kimi-K2.6,博物馆导览讲解,1383,414,46,30.065217391304348
47d1cd05f1c6,Pro-Kimi-K2.6,历史场景叙事,2099,659,60,34.983333333333334
a6d8568d8ddb,Pro-Kimi-K2.6,沉浸式体验设计,3584,1015,85,42.16470588235294
f845adc8c4cb,Pro-Kimi-K2.6,博物馆导览讲解,1179,384,29,40.6551724137931
b3f3916749a3,Pro-Kimi-K2.6,历史场景叙事,2565,741,97,26.443298969072163
98fabc111f34,Pro-Kimi-K2.6,沉浸式体验设计,3582,1037,93,38.516129032258064
bbce680ad773,Pro-Kimi-K2.6,博物馆导览讲解,1170,348,35,33.42857142857143
f40ebfe46220,Pro-Kimi-K2.6,历史场景叙事,1716,462,72,23.833333333333332
0454b459b51a,Pro-Kimi-K2.6,沉浸式体验设计,3603,1036,105,34.31428571428572
cc2b4cc59c6c,Pro-Kimi-K2.6,博物馆导览讲解,3373,399,40,84.325
88e963cc06ce,Pro-Kimi-K2.6,历史场景叙事,1442,440,42,34.333333333333336
310151d26d8c,Pro-Kimi-K2.6,沉浸式体验设计,3692,1070,93,39.69892473118279
c1f26752ed62,Pro-Kimi-K2.6,博物馆导览讲解,1092,349,23,47.47826086956522
ef27511ad59e,Pro-Kimi-K2.6,历史场景叙事,1856,497,57,32.56140350877193
3c48650aaf1c,Pro-Kimi-K2.6,沉浸式体验设计,3628,989,103,35.22330097087379
f1b57e060efe,Pro-GLM-5.1,博物馆导览讲解,1074,328,28,38.357142857142854
ffce1649e82a,Pro-GLM-5.1,历史场景叙事,1822,540,54,33.74074074074074
23051605633a,Pro-GLM-5.1,沉浸式体验设计,2556,748,73,35.013698630136986
ebb3eee2bce0,Pro-GLM-5.1,博物馆导览讲解,1446,423,51,28.352941176470587
78ae56656bc2,Pro-GLM-5.1,历史场景叙事,1803,504,68,26.514705882352942
73dbab8ee8fe,Pro-GLM-5.1,沉浸式体验设计,2428,690,63,38.53968253968254
f4fd00170059,Pro-GLM-5.1,博物馆导览讲解,1688,498,51,33.09803921568628
6c618e195e36,Pro-GLM-5.1,历史场景叙事,2291,647,66,34.71212121212121
eaf89dfc314f,Pro-GLM-5.1,沉浸式体验设计,2650,770,76,34.86842105263158
5f20d096b6ee,Pro-GLM-5.1,博物馆导览讲解,1603,458,64,25.046875
888f03e12883,Pro-GLM-5.1,历史场景叙事,2007,604,58,34.60344827586207
8ac6c1908065,Pro-GLM-5.1,沉浸式体验设计,2381,698,65,36.63076923076923
393179571787,Pro-GLM-5.1,博物馆导览讲解,1626,469,43,37.81395348837209
ba95f94a02a4,Pro-GLM-5.1,历史场景叙事,1928,567,58,33.241379310344826
712456fa5716,Pro-GLM-5.1,沉浸式体验设计,2456,734,69,35.594202898550726
ba71af0fe6ec,Pro-GLM-5.1,博物馆导览讲解,1467,440,39,37.61538461538461
60ce3adb38a8,Pro-GLM-5.1,历史场景叙事,1911,543,65,29.4
86bf90297c36,Pro-GLM-5.1,沉浸式体验设计,2766,805,74,37.37837837837838
c07f083c00c9,Pro-GLM-5.1,博物馆导览讲解,1397,428,36,38.80555555555556
a710c84e72bd,Pro-GLM-5.1,历史场景叙事,2173,659,69,31.492753623188406
27df187b2530,Pro-GLM-5.1,沉浸式体验设计,2501,727,63,39.698412698412696
dcd12f369b2b,Pro-GLM-5.1,博物馆导览讲解,1931,591,58,33.293103448275865
00a982429dbd,Pro-GLM-5.1,历史场景叙事,1689,518,55,30.70909090909091
fa9926af1ba9,Pro-GLM-5.1,沉浸式体验设计,2515,745,63,39.92063492063492
aa02f29ea33c,Pro-GLM-5.1,博物馆导览讲解,1504,467,40,37.6
7613aef8d258,Pro-GLM-5.1,历史场景叙事,1491,467,36,41.416666666666664
9e9dbcf46bd7,Pro-GLM-5.1,沉浸式体验设计,2253,656,67,33.62686567164179
6ea2eba2b542,Pro-GLM-5.1,博物馆导览讲解,1366,380,47,29.06382978723404
5132ba78e94a,Pro-GLM-5.1,历史场景叙事,1813,506,71,25.535211267605632
bce139c42de5,Pro-GLM-5.1,沉浸式体验设计,2650,724,76,34.86842105263158
8820b1274f2d,Pro-GLM-5.1,博物馆导览讲解,1320,385,39,33.84615384615385
b4bf36c42fc7,Pro-GLM-5.1,历史场景叙事,1516,468,48,31.583333333333332
ef27adeed9af,Pro-GLM-5.1,沉浸式体验设计,2670,775,71,37.605633802816904
6cfd19e83947,Pro-GLM-5.1,博物馆导览讲解,1310,401,35,37.42857142857143
dccaa18941c4,Pro-GLM-5.1,历史场景叙事,1913,545,47,40.702127659574465
f0e217f31b8e,Pro-GLM-5.1,沉浸式体验设计,2367,685,63,37.57142857142857
5214bfce2cc2,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
b796259214aa,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
e62c84eb96d5,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
605a87925851,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
1734a556c2c7,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
cd0550062f22,Nex-N2-Pro,沉浸式体验设计,2467,679,140,17.62142857142857
521d643f9e08,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
62462c64a4fd,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
b314f41ec12a,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
afd7eac8ec66,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
46670f51f283,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
2ac5683bb1ec,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
197782dc32e5,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
fda459bbd124,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
b357c714a695,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
83f1b6b3254a,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
06015021530d,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
3e71cf14ca0d,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
d6c2f8b1fe6d,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
fd5ccf80d94f,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
6b269c516d69,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
f7ef4ed4fa96,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
c7855521d67d,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
d8a6e627e0cb,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
dfeb510e03fe,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
7122e084feee,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
e65b14b3fdb2,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
8d52757c2c05,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
bcc655add471,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
98c48565532e,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
f0006521a47a,Nex-N2-Pro,博物馆导览讲解,870,281,20,43.5
7dd7be23c657,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
ee7d05655a35,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
d287ab32fad9,Nex-N2-Pro,博物馆导览讲解,3,1,1,3.0
4901b79d7ae6,Nex-N2-Pro,历史场景叙事,3,1,1,3.0
9ffc8e62d28e,Nex-N2-Pro,沉浸式体验设计,3,1,1,3.0
13d80593fb0f,MiniMax-M2.5,博物馆导览讲解,1287,404,39,33.0
d1d95f121881,MiniMax-M2.5,历史场景叙事,2219,639,108,20.546296296296298
c2bd160089ce,MiniMax-M2.5,沉浸式体验设计,3592,1158,95,37.810526315789474
c67e31a5d9d7,MiniMax-M2.5,博物馆导览讲解,1869,502,80,23.3625
3e0370ef6db8,MiniMax-M2.5,历史场景叙事,1594,398,70,22.771428571428572
fe978be1231b,MiniMax-M2.5,沉浸式体验设计,3885,1114,123,31.585365853658537
be3184702111,MiniMax-M2.5,博物馆导览讲解,1453,434,53,27.41509433962264
b4078b224211,MiniMax-M2.5,历史场景叙事,3637,961,84,43.29761904761905
151513cd7aa4,MiniMax-M2.5,沉浸式体验设计,3543,1028,109,32.5045871559633
506eca574992,MiniMax-M2.5,博物馆导览讲解,2110,601,68,31.029411764705884
807a154b6e78,MiniMax-M2.5,历史场景叙事,2673,801,110,24.3
e2afdd335f2f,MiniMax-M2.5,沉浸式体验设计,3563,1063,94,37.90425531914894
fda3df810eab,MiniMax-M2.5,博物馆导览讲解,4221,482,64,65.953125
32f83df829c2,MiniMax-M2.5,历史场景叙事,3370,948,107,31.49532710280374
64795e8275b9,MiniMax-M2.5,沉浸式体验设计,3726,953,142,26.239436619718308
7a191f7f1321,MiniMax-M2.5,博物馆导览讲解,5405,594,80,67.5625
8ca54c769a43,MiniMax-M2.5,历史场景叙事,3338,15,38,87.84210526315789
0be378ad7275,MiniMax-M2.5,沉浸式体验设计,3735,1185,89,41.96629213483146
2ccccd776acc,MiniMax-M2.5,博物馆导览讲解,1380,414,43,32.093023255813954
30da4e70f648,MiniMax-M2.5,历史场景叙事,1396,381,64,21.8125
1489c2e563d7,MiniMax-M2.5,沉浸式体验设计,3875,1291,94,41.223404255319146
cfef6bfc9111,MiniMax-M2.5,博物馆导览讲解,1654,482,50,33.08
4339881853fb,MiniMax-M2.5,历史场景叙事,1725,502,74,23.31081081081081
29e068be1389,MiniMax-M2.5,沉浸式体验设计,3519,1035,84,41.892857142857146
317ffc9479dd,MiniMax-M2.5,博物馆导览讲解,1668,484,58,28.75862068965517
842a9f805395,MiniMax-M2.5,历史场景叙事,2501,752,86,29.08139534883721
a2bd2230d975,MiniMax-M2.5,沉浸式体验设计,3655,1049,123,29.715447154471544
c4eff8d582f9,MiniMax-M2.5,博物馆导览讲解,1910,502,68,28.08823529411765
3f7d3abc9462,MiniMax-M2.5,历史场景叙事,2495,673,124,20.120967741935484
e852763ca27a,MiniMax-M2.5,沉浸式体验设计,3906,1131,106,36.84905660377358
